English,French,Fulfulde
The challenges in this area relate mainly to meeting the increasing volume of international requests arising from the greater prevalence of transnational crime.,Les grandes difficultés à cet égard se rapportent à l'intensification des demandes internationales d'une intervention face à la montée du crime transnational.,
Hasn't he got lovely soft hair?,N'a-t-il pas de beaux cheveux ?,
http://soleildelest.free.fr/sdl/,"Québec, Canada. http://cisvstgregoire.org",
408.,1610.,
I knew it! I just knew it!,Je le savais!,
The above Gujarati grammar can provide tools to use in coordination with the Gujarati vocabulary to obtain some popular Gujarati phrases.,La grammaire gujarati ci-dessus peut fournir des outils à utiliser en coordination avec le vocabulaire pour obtenir quelques phrases populaire en gujarati.,
"Ministers who sympathized with the settlers, notably the long-time Gaullist Jacques Soustelle, were sacked.","Les ministres qui sympathisent avec les colons, notamment Jacques Soustelle, un gaulliste de la première heure, sont mis à la porte.",
"Ain't that tough a job, kid, it's just gonna need a good plunge.","C'est pas si dur, gamin, faut juste y aller franco.",
"Yeah, sorry.",Désolé.,
- Grace Farrell.,- Grace Farrell.,
How could He have a son when He does not have a companion and He created all things?,"Comment aurait-Il un enfant, quand Il n'a pas de compagne?",
"The recommendation applies to the content, language and presentation of the data by which these roll microfilm files may be identified and is therefore subdivided into three parts dealing with these three subjects.","La recommandation s'applique au contenu, à la langue et à la disposition ainsi qu'à la présentation des données permettant d'identifier ces collections sur microfilms en bobine.",
Ú F 3.1c Finance Documents and statistical data Annual public sector expenditure: ± 990m SF ?(± 0.9% of total public expenditure).,"990 millions de francs l'an (0,9 % de l'ensemble des dépenses publiques en chiffres ronds).",
in French language,En français,
-Yes... I'm on my way to Gus Trenor's at Bellmont... and I've missed the three-fifteen to Rhinebeck... and there isn't another train till half past five.,"Je vais chez les Trenor à Bellomont, j'ai raté le train de 3 h 15 et il n'y en a pas d'autre avant 5 h et demie.",
"To be sure, there are many subtle signs of panic at the topabout the state of the country’s economy; but there is no hint thatUnited Russia has a new program to meet these challenges in Putin’snext administration, apart from more censorship of theInternet.","Si l’on essaie de se faire une idée, on constate denombreux signaux subtils indiquant une panique sur l’état del’économie du pays, et pourtant aucun indice de l’existence d’unéventuel nouveau programme qui serait proposé par Russie Unie pourfaire face aux défis de la prochaine administration Poutine, si cen’est davantage de censure d’internet.",
"A Day in the Life Typical work hours are 8:30 a.m. to 5:30 p.m., Monday to Friday.","Journée type Je travaille de 8 h 30 à 17 h 30, du lundi au vendredi.",
"?5. Listening for Direction on Injury Executive Summary.?6. CIHR - Injury Prevention Initiative's Project Manager, Johanne Lapointe: jlapointe@cihr-irsc.gc.ca.","?5. À l'écoute des nouvelles orientations sur les blessures : rapport sommaire.?6. IRSC - Gestionnaire de projet de l'Initiative de prévention des blessures, Johanne Lapointe : jlapointe@irsc-cihr.gc.ca",
The TSB recognizes that simulator training is expensive and that course designers must balance training exercises with the probability that flight crews may need to employ the techniques learned in the simulator. Simulation of in-flight icing scenarios that have resulted in accidents or serious stall/upset events could help prepare flight crews to deal with actual icing conditions and give them a better understanding of the risks involved with flight in icing conditions.,"Le BST reconnaît que la formation sur simulateur est coûteuse et que les concepteurs de cours doivent établir un équilibre entre les exercices et la probabilité que les équipages de conduite auront à utiliser les techniques apprises sur simulateur. La simulation de scénarios de givrage en vol ayant mené à un accident ou à un incident grave de décrochage ou à une perte de maîtrise pourrait permettre aux équipages de conduite d'apprendre à composer avec des conditions de givrage réelles, et leur permettre de mieux comprendre les dangers du vol dans des conditions givrantes.",
- They're gonna have a bidding war.,Ils vont se l'arracher.,
HAS ADOPTED THIS REGULATION:,A ARRÊTÉ LE PRÉSENT RÈGLEMENT:,
He's gotta be so embarrassed.,- Il doit avoir trop la honte.,
"If precipitation has begun or ended, or fog has cleared or set in during the interval, change the values of ww and VV accordingly.","Si des précipitations ont commencé ou cessé, ou si le brouillard s'est installé ou dissipé dans l'intervalle, modifier les valeurs de ww et de VV en conséquence.",
Come through. Table 13.,"S'il vous plaît, allez vous installer.",
Any questions should be directed to the TBSC.,"Pour toute question, on consultera le Centre.",
There's nothing we can do?,Il n'y a rien que l'on puisse faire?,
that's enough. That's enough.,"Hey, ça suffit.",
- Did you?,- Tu l'as fait ?,
Why's that?,Pourquoi ça ?,
You didn't look exactly lovin' when you ran out of that room tonight.,"""Vous n'aviez pas l'air vraiment en amour quand vous êtes sortie de la pièce ce soir.""",
(B)56600-11-2FS-CN15AB,(B)56600-11-2FS-CN15AB,
_,L'entrée est lourdement gardée .,
Good morning.,Bonjour.,
"Vast fields pass by my window, the untouched cookie still resting on my lap. I ask myself with a chuckle, do I want to be like it?","Les champs défilent toujours sous mon hublot, le biscuit intouché repose encore sur mes genoux. Je me demande en riant si je veux lui ressembler.",
That's not why I did it.,Ce n'est pas la raison.,
That's why I'm grateful.,Voilà pourquoi je suis reconnaissante.,
o Remove partial dentures before cleaning natural teeth.,o Retirez le dentier avant de nettoyer les dents naturelles.,
"Get them up, boys.",Mains en l'air.,
When the moon comes up,Quand la lune se lève,
"If you're faking, Paul, I'm gonna know.","Si vous simulez, je le saurai.",
You were saying?,Vous disiez ?,
The movement of the Machine Gun regiment developed a colossal power of contagion.,Le mouvement du régiment de mitrailleurs révélait une formidable puissance contagieuse.,
Everything's gonna be A-OK.,Tout va bien se passer.,
He's a Werewolf. (police sirens),C'est un loup-garou.,
So you're going to go out with this guy?,Alors tu vas sortir avec lui.,
nix wie weg (2005),Cambuche (2005),
"WD also delivers four national programs (referred to as non-core programs) for Western Canadians on behalf of other federal departments such as: Softwood Industry Community Economic Adjustment Initiative (SICEAI) for Industry Canada and; Infrastructure Canada Fund (ICF), Municipal-Rural Infrastructure Fund (MRIF) and, Canada Strategic Infrastructure Fund (CSIF) for Infrastructure Canada.","DEO assure également l'exécution de quatre programmes nationaux (appelés programmes supplémentaires) à l'intention des Canadiens de l'Ouest pour le compte d'autres ministères fédéraux, dont l'Initiative d'adaptation économique de l'industrie et des collectivités touchées par le différend sur le bois d'oeuvre, pour Industrie Canada, ainsi que le programme Infrastructures Canada, le Fonds sur l'infrastructure municipale rurale (FIMR) et le Fonds canadien sur l'infrastructure stratégique (FCIS), pour Infrastructure Canada.",
I'm good.,Il y a eu des facteurs... personnels.,
It's gonna be your kind of place.,Ça va le devenir.,
-ls Mae in?,Mae est là ? Elle arrive.,
(So that you can grow the stitch pattern as long as you like and have it work out properly),(Afin que vous pouvez cultiver le motif du point tant que vous aimez et que vous l'avez fonctionné correctement),
"1 79 H Act concerning the conditions of accession of the Hellenic Republic to the European Communities and the adjustments to the treaties (OJ L 291, 19.11.1979, p. 92)","179 H Acte relatif aux conditions d'adhésion et aux adaptations des traités — Adhésion aux Communautés européennes de la République hellénique (JO L 291 du 19.11.1979, p. 92),",
"If patients suffer from side-effects - for example, the tablets make them feel sick - they should inform their clinicians or nurses, because simple solutions are often available.","Si le patient souffre d'effets secondaires (par exemple, indispositions après la prise de comprimés), il devra en informer son médecin ou son infirmière car des solutions simples sont souvent disponibles.",
"Everyone got one, except you didn't eat it.","Tout le monde en a eu, mais toi tu ne l'as pas mangé.",
And today we see many people who make slogans.,Et aujourd’hui nous voyons beaucoup de gens qui font des slogans.,
"Do not call the police, okay?",Surtout n'appelez pas la police.,
* The panniers are colour-matched to the body of the bike and have,* Les sacoches sont de couleur assortie à la moto et portent le logo,
"Changes in the real prices of other products (potatoes, sugar beet, fresh vegetables and flowers) in individual Member States were in equilibrium for the Community as a whole, with the result that prices at EUR 12 level varied only slightly (-1% to +2%).","Pour les autres produits végétaux (pommes de terre, betteraves sucrières, légumes frais et fleurs), les variations des prix réels se compensent entre pays de sorte qu'elles sont très faibles au niveau EUR 12 (entre -1% et +2%).",
"Look, I haven't seen Elenore in, like, a week, and I had to pay this month's rent solo.",- Je l'ai pas vue de la semaine. J'ai dû payer le loyer seule.,
"Unbelievable. This is a trap, My Lord!",Mon Seigneur !,
Let's meet my mother.,Je vais vous présenter ma mère.,
It's too weak to pump the blood.,C'est trop faible pour pomper le sang.,
"Ladies and gentlemen, may I suggest that those of you with weak constitutions leave the arena, for this act is so dangerous that if the slightest thing should go wrong...","Permettez-moi de suggérer aux personnes émotives de quitter l'arène. Exercice si dangereux, que la moindre erreur...",
What happened with what?,Qu'est ce qu'il se passe avec quoi ?,
88(1)(e.2),88(1)e.2),
Reduce the angle of attack (AOA) by increasing speed.,Réduire l’angle d’attaque (AOA) en augmentant la vitesse.,
"Similarly to the solutions identified in relation to multilateral funding, placing chemicals management higher on the development agenda of recipient and donor countries will be key in ensuring that chemicals management activities are adequately funded.","De même que pour les solutions identifiées dans le cadre du financement multilatéral, il sera essentiel d'accorder un rang de priorité plus élevé à la gestion des produits chimiques s'agissant des préoccupations des pays bénéficiaires et donateurs en matière de développement pour garantir que les activités de gestion des produits chimiques bénéficient d'un financement suffisant.",
"Caritas delegates also called attention to the plight of Christians who suffer from religious persecution in Syria and Iraq and of migrants and refugees all over the world: “We urge governments to build safe havens and humanitarian corridors, rather than fences, walls or programmes of interdiction at sea.”","Les délégués de Caritas font part de leur préoccupation pour la situation des chrétiens persécutés en Syrie et en Irak, et celle des migrants et réfugiés du monde : « Nous exhortons les gouvernements à construire des abris sûrs et des couloirs humanitaires, plutôt que des clôtures, des murs ou des programmes d'interdiction du côté de la mer. »",
"Who she is, or whence she came... he knows not, nor does he care.","Qui est-elle, d'où vient-elle... il ne le sait pas, et il s'en fiche.",
Bad.,Mal.,
It included not only Eve but also Adam.,"Il comprend non seulement Eve, mais aussi Adam.",
See you Monday !,Au plaisir de vous revoir lundi avec une panoplie d’activités !,
MJAFT! has activated discussions and stirred public debates on numerous important issues in the country.,MJAFT ! a déclenché des discussions et suscité des débats publics sur de nombreuses questions importantes dans le pays.,
-l knew you weren't okay with that.,- Tu le digères pas.,
"- I don't know what S.O.P. means, Sir.","Ça veut dire quoi, ""PON"" ?",
"Then he must have brought his native soil with him, boxes of it.",Il a dû emporter un peu de sa terre natale avec lui.,
"In the biblical sense, it's a man called by God to be his spokesman, his messenger.","Dans la Bible, c'est un homme appelé par Dieu pour devenir son messager.",
"A letter forwarding a copy of the response to the chair of the parliamentary committee, to be signed by the appropriate Minister(s), should also be annexed to the MC.","Doit également être annexée au MC une lettre demandant qu'une copie de la réponse, signée par le ou les ministres compétents, soit envoyée au président du comité.",
The CIHR IA Scientific Director and staff will be onsite to engage with participants.,La directrice scientifique et les employés de l'IV des IRSC seront disponibles pour rencontrer les participants.,
I believe he went out of town for a day or two.,Il a quitté Venise pour quelques jours.,
I don't want any.,Je n'en veux pas.,
We're very honoured to be here at your aunt's ball.,C'est un honneur d'être ici au bal de votre tante.,
Bovine tuberculosis,Tuberculose bovine,
It must not tolerate the proclamation of principles which are in even partial conflict with its theoretical cornerstones.,Il ne doit pas tolérer des proclamations de principe qui soient en contradiction même partielle avec ses fondements théoriques.,
o the name(s) of any organization(s) with which the applicant organization is affiliated.,o le nom de toutes les organisations auxquelles est affiliée l'organisation qui présente une demande.,
Are you serious? Yeah.,- Tu es sérieux ?,
"Research on the social indicators of social cohesion Other academic research Quantitative and qualitative studies Social and economic indicators, indicators centred on social capital and health status Policy development","Recherche sur les indicateurs sociaux de la cohésion sociale Autres recherches en milieu universitaire Études quantitatives et qualitatives Indicateurs sociaux, indicateurs économiques, indicateurs axés sur le capital social et indicateurs de l'état de santé Élaboration de politiques",
The Member States and managing authorities shall ensure that programming of trans-national and inter-regional cooperation activities takes the form of a specific priority axis within an operational programme or a specific operational programme.,"Or. pt Justification Conformité avec l'amendement 4 (paragraphe 6), l'amendement précité couvre ainsi toutes les possibilités de coopération et présente les limites de participation, celles-ci conformément au texte présenté par le rapporteur ainsi qu'à sa justification.",
While the NHL has interrupted its schedule for the duratio…,Alors que la LNH a interrompu son programme pour la duratio ...,
Temperature 23 °C 22 °C 24 °C 27 °C 29 °C 28 °C 25 °C 24 °C,Temperatura 23 °C 22 °C 25 °C 27 °C 29 °C 27 °C 25 °C 24 °C,
"Postal Service Microsoft Hotmail, whose former leader had pressed strongly Google, releasing in 2005, Gmail, intends to regain its former leadership.","Postal Service Microsoft Hotmail, dont l’ancien dirigeant avait pressée fortement Google, libérant en 2005, Gmail, a l’intention de retrouver son ancienne direction.",
—Charterfor European Security (1999).,Chartede sécurité européenne (1999),
A further collection exercise would be initiated at the end of 2006;,De nouvelles collectes seront entreprises à la fin de 2006;,
- Come on... it'll make you feel better.,"- Allez, tu te sentiras mieux.",
All cost recovery schedules will be negotiated in an open and transparent process through a memorandum of understanding with proponents.,Tous les plans de recouvrement des coûts seront négociés dans un processus ouvert et transparent par le biais d'un protocole d'entente avec les promoteurs.,
"I mean, you must've had a Doo-Dah, right?","T'as bien un papounet, non ?",
Imagine infants and children sleeping in chemical-laced pajamas.,Imaginons des nourrissons et des enfants qui dorment dans des pyjamas truffés de produits chimiques!,
"Daddy, can I go out with Kyle on Saturday?","Papa, je peux sortir avec Kyle samedi?",
- I know.,Désolé.,
"Tell them this, just as in the days of Noah so it shall be again.",Tout comme dans les jours de Noé ainsi ce sera à nouveau.,
"ARBELOA MURU (S). — (ES) Mr President, it is worth recalling what some have already pointed out: that the report by Maria Izquierdo was adopted unanimously at the Conference of Regions, composed overwhelmingly of dedicated regionalists.","Arbeloa Muru (S). — (ES) Monsieur le Président, il convient de rappeler que le rapport de María Izquierdo a été adopté, comme l'ont rappelé certains, à la majorité absolue lors de la conférence sur les régions, essentielle ment composée de régionalistes convaincus.",
"Chaired by the Chief Electoral Officer of Canada, the mission established a secretariat in Port-au-Prince, deployed long- and short-term observers to monitor Haiti's electoral process and provided advice to Haiti's Provisional Electoral Council, the Conseil électoral provisoire.","Présidée par le directeur général des élections du Canada, la mission a établi un secrétariat à Port-au-Prince, a déployé des observateurs à long et à court termes pour évaluer le processus électoral haïtien et a fourni des conseils, en outre, au Conseil électoral provisoire d'Haïti.",
"Other Intergovernmental Organizations Regional African Regional Intellectual Property Organization (ARIPO), Arab League Educational, Cultural and Scientific Organization (ALECSO), Arab States Broadcasting Union (ASBU), Association of South East Asian Nations (ASEAN), (Board of the) Cartagena Agreement (JUNAC), Caribbean Community (CARICOM), Commonwealth Fund for Technical Cooperation (CFTC), Commonwealth of Independent States (CIS), Conference of Latin American Authorities on Informatics (CALAI), Council of Europe (CE), Economic Community of the Great Lakes Countries (CEPGL), European Free Trade Association (EFTA), European Audiovisual Observatory, General Secretariat of the Andean Community, Islamic Educational, Scientific and Cultural Organization (ISESCO), Latin American Economic System (SELA), League of Arab States (LAS), Mercado Común del Sur (MERCOSUR), African Union (AU), Organisation africaine de la propriété intellectuelle (OAPI), Organization of American States (OAS), Organization of the Islamic Conference (OIC), Central American Economic Integration Secretariat, Southern African Development Community (SADC) and Communauté économique et monétaire en Afrique centrale (CEMAC) (25 organizations), and such organizations as the Director General may invite.","Autres organisations intergouvernementales régionales Association des nations de l'Asie du Sud-Est (ANASE), Association européenne de libre échange (AELE), Commonwealth Fund for Technical Cooperation (CFTC), Communauté des Caraïbes (CARICOM), Communauté des États indépendants (CEI), Communauté économique des pays des Grands Lacs (CEPGL), Communauté économique et monétaire de l'Afrique centrale (CEMAC), Communauté pour le développement de l'Afrique australe (SADC), Conférence d'organismes latino-américains sur l'informatique (CALAI), (Conseil de l') Accord de Carthagène (JUNAC), Conseil de l'Europe (CE), Ligue des États arabes (LEA), Marché commun du Sud (MERCOSUR), Observatoire européen de l'audiovisuel, Organisation arabe pour l'éducation, la culture et la science (ALECSO), Organisation de la Conférence islamique (OCI), Organisation des États américains (OEA), Organisation islamique pour l'éducation, les sciences et la culture (ISESCO), Organisation africaine de la propriété intellectuelle (OAPI), Organisation régionale africaine de la propriété intellectuelle (ARIPO), Secrétariat d'intégration économique centraméricaine, Secrétariat général de la Communauté Andine, Système économique latino-américain (SELA), Union africaine (UA) et Union des radiodiffusions des États arabes (ASBU) (25 organisations), ainsi que toute autre organisation que pourrait inviter le directeur général.",
The related public key identifier (i.e. X.509v3 SubjectKeyIdentifier or SKI value);,l’identifiant de clé publique connexe (c.-à-d. SubjectKeyIdentifier X.509v3 ou valeur SKI);,
Says who?,Sur ordre de qui?,
I knew you had it in you.,Je savais que tu allais réussir.,
Where's Kitty?,Où est Kitty ?,
"China is of the view that the peace process in the Democratic Republic of the Congo is now at a critical juncture and a potential turning point. At present, it is imperative to seize the opportunity to move the peace process forward so that progress can be made.","La Chine est convaincue que le processus de paix a désormais atteint une phase critique qui pourrait être un tournant et, à l'heure actuelle, il faut saisir l'occasion de faire avancer le processus de paix afin de pouvoir réaliser des progrès.",
And you really can't have glass bottles out here.,Il ne faut pas balancer des bouteilles en verre.,
"We're gonna have a lot of money, Charlie.",Nous allons avoir beaucoup d'argent.,
- Speak a bit louder.,- Parle plus fort.,
Whatever that means.,Quel que soit le sens de ce mot.,
"I think one's psychology has to be fairly stable... and one has to be constantly aware of the risks one is running, which...","Je pense qu'il doit avoir un mental assez équilibré et qu'il doit être constamment conscient des risques qu'il encoure, - lesquels... - (coup de corne)",
Vote for You go to be able to vote for Asian Wife :,Vote pour Vous allez pouvoir voter pour Asian Wife :,
She knows that her members are sinners and do not always act in conformity with her teachings.,Elle sait que ses membres sont pécheurs et ne se comportent pas toujours selon son enseignement.,
"These various aspects have received some attention, but a greater degree of awareness of them is needed in order to ensure that the actual needs of both sexes are integrated into development policies, planning and programmes.",Le paragraphe a) de l'article 3 de la loi stipule que : « Est détenteur de la nationalité yéménite quiconque est né d'un père détenteur de la nationalité yéménite ».,
"Iharacho, Shizuoka Air Quality.","IQA de Iharacho, Shizuoka.",
- You'll rest better there.,- C'est plus confortable.,
The Legislative Council of Prince Edward Island had been elective since 1862 and that of the Province of Canada since 1857.,"Le Conseil législatif de l'Île-du-Prince-Édouard était élu depuis 1862 et celui de la Province du Canada, depuis 1857.",
On each occasion it expressed its wish to help the Sudanese people as well as its hope that the Sudanese Government would discharge its responsibilities to the civilian population and allow free passage for the international aid agencies and national and international NGOs.,"A chaque occasion, elle a exprimé sa volonté d'aider le peuple du Soudan, mais aussi son souhait de voir le gouvernement du Soudan prendre ses responsabilités envers les populations civiles et accorder le libre passage aux agences internationales d'aide ainsi qu'aux OÑG nationales et internationales.",
"In this connection, I would like to praise the quick actions of the European Union in response to the attacks and for cooperating with the international community's efforts.","À ce sujet, je voudrais féliciter l'Union européenne pour ses actions rapides en réponse aux attaques et pour sa coopération aux efforts de la communauté internationale.",
"Definition of ""Community""",Définition de «collectivité»,
Coagulating?,Coaguler ?,
It's a long time since I've been called that.,On ne m'a pas appelée ainsi depuis un bon moment.,
"As explained below, this U.S. evaluation was performed in two stages, an initial reduction from twelve manoeuvres to four, then from four to one.","Comme expliqué ci-après, cette évaluation a été effectuée en deux étapes, avec une présélection de 12 manœuvres à 4, puis une sélection de 4 à 1.",
What about you?,Et toi ?,
I'm not saying that you should go out and have fun.,Je ne dis pas que tu devrais aller t'amuser.,
He slept with other women in front of my mother in the same room.,Il couchait avec d'autres femmes devant ma mère.,
"Here, I do whatever I want, whenever, and however I want it.","Ici, je fais ce que je veux, quand je veux et comme je veux.",
Trucking Discrimination on the ground of disability Complaint upheld,Anne L. Mactavish Emploi : camionnage Discrimination fondée sur la déficience Plainte accueillie,
What's he doing?,Qu'est-ce qu'il fait ?,
Interlocutory appeals,Appels interlocutoires,
"o Premier Okalik Joins Minister Strahl to Welcome Three New Federal-Territorial Agreements?(News release - March 27, 2008)",o Le premier ministre Okalik se joint au ministre Strahl pour annoncer la conclusion de trois nouveaux accords fédéraux territoriaux?(Communiqué - le 27 mars 2008),
We know that smoking tends to shift over the years from the more to the less privileged segments of society.,On sait que le tabagisme tend à se déplacer au fil des ans des couches favorisées de la population en général vers les couches défavorisées.,
"Eaton, at the head of a crew of 500 US Marines, Greek, Arab and Turkish Mercenaries, marched across the desert from Alexandria, Egypt and with the aid of American ships, succeeded in capturing Derna.","Eaton, à la tête d'une troupe bigarrée de 500 Marines et mercenaires musulmans partit d'Alexandrie en Egypte à travers le désert, et parvint à s'emparer de Derna avec l'aide de navires américains.",
Morning.,Bonjour.,
- I have a problem in Marseille.,- J'ai un problème à Marseille.,
"The CRTC had to give last-minute extensions in two extraordinary cases: the first, when Hurricane Irene slammed into the Atlantic provinces; and the second, when a Peregrine falcon, an endangered species, built a nest on a transmitter in the city of Montreal.","Le CRTC a dû accorder une prolongation de dernière minute dans deux cas exceptionnels: le premier, lorsque l'ouragan Irène a frappé les provinces de l'Atlantique; et la seconde, lorsqu’un faucon pèlerin, une espèce en voie de disparition, a construit son nid sur un émetteur dans la ville de Montréal.",
- Bullshit.,- Mensonge.,
Two coffees.,Deux cafés.,
"However, with time, the situation was restored to normal and the community and works of the Hospitallers of Saint Joseph developed.","Cependant, la situation se normalise avec le temps; la communauté et les œuvres des Hospitalières de Saint-Joseph se développent.",
National surveys have shown that a major cause of this problem is that banks' require identification for opening accounts and cashing cheques (even government cheques) that people with low incomes or on social assistance often do not have.,Des sondages menés à l'échelle nationale ont démontré que ce problème tient en grande partie au fait que les banques exigent des pièces d'identité pour ouvrir un compte ou pour encaisser un chèque (même les chèques émis par le gouvernement) et que les citoyens à faible revenu ou les assistés sociaux ne peuvent généralement pas répondre à cette exigence.,
"I'm Evie, by the way.","Evie, au fait.",
( c ) brokerage commission is recorded either as transaction cost to be included in the cost of the asset or as expense in the profit and loss account ;,c ) les commissions de courtage sont comptabilisées soit comme coûts de transaction à inclure dans le coût de l' actif soit comme charges au compte de résultat ;,
"(e) In the workplace, respect for human dignity and non-discrimination on the grounds of race should be promoted;","e) Le monde du travail, où le respect de la dignité humaine et l'absence de discrimination liée à l'origine nationale devraient être encouragés;",
"Women's or girls' bib and brace overalls, of textiles (excluding cotton, knitted or crocheted, for industrial or occupational wear) and women's or girls' shorts, of wool or fine animal hair (excluding knitted or crocheted)","Salopettes à bretelles, en matières textiles (à l'exclusion des articles de coton, des articles en bonneterie et des vêtements de travail) et shorts, de laine ou de poils fins (sauf articles en bonneterie), pour femmes ou fillettes",
Investment projects in the tourism sector:,Objectif: Projets d'investissements dans le secteur du tourisme:,
"An altruist will give more to charity than a miser, but each is likely to give less when the cost of giving rises (through a reduction in the tax subsidy afforded charitable donations, for instance).","L'altruiste est plus charitable que l'avare, mais tous deux peuvent être enclins à moins donner si le coût de la charité augmente (par exemple, si l'on réduit la subvention fiscale au titre des dons de bienfaisance).",
None have access to a Committee review of their cases.,Le nombre de personnes qui peuvent être touchées est important.,
POME FRUIT,FRUITS À PÉPINS,
2006 good practice selection,Sïlection de bonnes pratiques 2006,
Source:lamidddithy.files.wordpress.com,Source:www.pdfsdocuments.com,
"With a view to improving the difficult financial situation facing most small enterprises, the participants established priorities and proposed action in the following areas :","Pour améliorer la difficile situation financière de la plupart des petites entreprises, les participants ont établi des priorités et proposé les actions suivantes :",
"The results of the special workshops and of the inquiries will be merged (size: approximately 35 participants, organizations/persons from the public/private sector, decisionmakers, etc.), to:","Les résultats de ces ateliers et des enquêtes seront examinés ensemble (ateliers d'environ 35 participants, représentants d'organisations, personnes issues des secteurs public et privé, décideurs, etc.) dans le but de:",
The Committee wishes to receive further information any exceptions to the rules on weekly rest periods.,"Le Comité demande si cette possibilité est utilisée dans les faits et, le cas échéant, pour quelles catégories de travailleurs.",
Your insides will boil out of your eye sockets like a science fair volcano!,Vos entrailles liquéfiées vous sortiront par les yeux comme une éruption volcanique!,
Do what you like in London!,- Je ne tolérerai pas tes bêtises !,
On the back:,Au verso :,
"- Thank you, nurse.","- Merci, infirmière.",
... differing forms of codetermination for these three legal forms...,...différentes possibilités de cogestion pour ces trois formes juridiques...,
"Photographs of your place of work or the sites you visit make it possible for your family to visualise that ""remote place"".",Des photos de votre lieu de travail ou des sites touristiques que vous visitez permettent à votre famille de se représenter ces « endroits éloignés ».,
This Common Entrance Examination forms part of the basis of selection for senior schools -- primarily in the independent sector but also for some selective state secondary schools.,"S'ils souhaitent fréquenter l'université, ils doivent poursuivre leurs études afin d'obtenir le GCE avancé (niveau A) à un collège offrant la classe terminale (certaines écoles secondaires offrent la classe terminale).",
BC bud.,Il a même son propre nom.,
"All right, Ben.","OK, Ben.",
Are you friends?,Vous êtes amis?,
I forgot.,- J'ai oublié.,
"In addition, the Psychiatric Society of Uruguay has warned about the consequences of using marijuana and its rising popularity among youths.","Qui plus est, la Société Psychiatrique d'Uruguay a mis en garde sur les conséquences de la consommation de cannabis et de son succès grandissant chez les jeunes.",
"In southern Africa, Angola may now constitute the continent's most acute humanitarian crisis, with an estimated 3.8 million displaced and war-affected people.","En Afrique australe, l'Angola, qui compte environ 3,8 millions de déplacés et de personnes touchées par la guerre, est peut-être le pays qui connaît la crise humanitaire la plus grave du continent.",
I want you to set up a perimeter around Easter Park.,Établissez un périmètre autour d'Easter Park.,
Find all climbs in the Pyrenees in France on a map.,Trouvez toutes les ascensions dans les Pyrénées en France on a map.,
Dsquared (9),Dsquared (9),
"Extra pages If the project costs total $10M or more, the application may use an additional 10 pages to address the assessment criteria: these 10 pages should be in a separate word-processed file, and the file should be attached electronically to the application.","Pages additionnelles Si le coût total du projet est de 10 M$ ou plus, l'établissement peut utiliser dix pages additionnelles pour expliquer en quoi et dans quelle mesure sa proposition répond aux critères d'évaluation.",
"On 22 February 1989, a disciplinary committee was constituted.",Une commission disciplinaire a été constituée le 22 février 1989.,
First thing is how not to give half your money to the government.,"D'abord, évitez d'en donner la moitié à l'État.",
"Roussin, Raymond Olier ?Vancouver, British Columbia?Grant of Arms?February 10, 2004? 361.","Roussin, Raymond Olier ?Vancouver (Colombie-Britannique)?Concession d'armoiries?le 10 février 2004? 361.",
The Commission's initiative: it does not have one!,Initiative de la Commission: zéro!,
Discussion and findings,Discussion,
"I'm not your friend, you jackass!","Je ne suis pas ton pote, abruti !",
Circular strips of ductus arteriosus from lambs of gestational age between 90 and 144 days (term 147 days) were studied in vitro at low (8-16 torr (1 torr = 133.322 Pa)) and high (426-622 torr) . Potassium- and oxygen-induced contractions increased with the gestational age and attained a maximum at term.,Des bandes circulaires de canal artériel d'agneaux durant leur gestation âgés entre 90 et 144 jours (terme à 147 jours) ont été étudiées in vitro â basse (8-16 torr (1 torr = 133.322 Pa)) et à élevée (426-622 torr). Les contractions induites par le potassium et l'oxygène augmentent avec l'âge de la gestation et atteignent un maximum à terme.,
"It was pretty common back in the days, but that's not what's important.","C'était plutôt commun dans le passé, mais ce n'est pas ce qui est important.",
"You are so headstrong, so... so strong.","Vous êtes tellement têtue, tellement... Tellement forte",
Is that why everything looks so dug up?,D'où tous ces labours ?,
- A month.,Un mois...,
"It's not evil, Buddy, it's the radiator.",Ce n'est pas diabolique...,
"And because he did, Yenlo swore vengeance on him.","Du coup, Yenlo a juré de se venger.",
OS (30),OS (24),
I think you're right.,Tu as raison.,
"Yes, are you still there?",Vous êtes là ?,
The use of YAC transgenic mice to explore the pathogenesis of HD and approaches to therapy for Huntington Disease,The role of ABCA1 on cellular cholesterol homeostasis and beta-cell function,
"In this regard, ad hoc agreements were signed with Regions, with the aim of promoting good practices and testing initiatives, such as projects on literacy-related issues, support programs for access to housing, and cultural mediation, to be extended in a later stage at the national level.","À cet égard, des accords ponctuels sont signés avec les régions en vue de favoriser les bonnes pratiques et de mener des activités expérimentales telles que des projets en matière d'alphabétisation, des programmes d'appui à l'accès au logement et l'interaction culturelle, l'objectif étant de généraliser ces activités.",
"- Morning, guys.",- Salut les filles.,
Every field has its bottom feeders.,Dans tous les domaines on trouve des opportunistes.,
How do I know you even have her?,Comment je peux savoir si vous l'avez ?,
"The decoration begins about a metre above the floor, with double large red and yellow bands outlined in black, delimiting the upper areas. Two sets of red and yellow bands is unusual, normally it is only one red and one yellow.","La décoration commence environ 1 m au-dessus du sol par un bandeau constitué d'une ligne blanche, une jaune, une rouge, une jaune et encore une rouge, chaque bande étant soulignée de noir.",
